time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.79227874683557e-08,5.710704064096064e-09,1.0025775442949079,7.5262511121110265e-06,6.283042672794851,0.0,9.240868660171457e-06,5.675548931580248e-07,0.08591484688365641,0.0003751620093122048,-0.00761534179595954,0.0,432.5904101227828,431.9488423284075,432.5305243378603,432.56210973171324
0.12000000000000001,6.002689858660903e-06,1.1048827264104794e-06,1.0133014369336417,0.000588442966988012,6.282435297890441,0.0,0.0002486568419452314,7.589315145485082e-05,0.2715216986234348,0.023744723870395598,-0.015680077803978912,0.0,462.9688890422206,462.3341509147375,462.99989601325217,464.83446735683214
0.18,3.934204896319218e-05,2.3000661895516945e-05,1.0320620418131714,0.0022102019338028356,6.281685930632744,0.0,0.0009459679421841194,0.0008060299874649898,0.3538090571285716,0.03289922121557534,-0.006769934251102902,0.0,430.0089409137381,430.76305319990905,431.89649972695514,432.6679752910076
0.23999999999999996,0.00012453725382137297,0.00011782991685746059,1.0536596356095478,0.004231854701408189,6.281186642822629,0.0,0.001933994937371503,0.002532822206593779,0.3661061739390409,0.035238270440714904,-0.011620638737966236,0.0,408.02949260302745,407.59639685149875,408.6154367666204,408.8244345622408
0.3,0.0002879920711360644,0.0003727935322025771,1.0802642120617865,0.00619323165010055,6.280087719477798,0.0,0.003607273552284636,0.0061906504369777255,0.5206534220246865,0.02703222007992943,-0.03712332815810492,0.0,455.8012520101416,453.75886301779605,453.63742871794796,452.97849791776656
0.36000000000000004,0.0005760066603287264,0.0008764633570002976,1.1142209685338849,0.0075371730119240254,6.277768053365204,0.0,0.0062215989645631325,0.010749395059962986,0.6111919579513309,0.010988799077229529,-0.041928226521763555,0.0,435.069566523498,434.66636675163824,434.18995200504884,432.8421291893148
0.4200000000000001,0.0010980647542368353,0.001715111241750253,1.1585270299849808,0.007841126761156225,6.274846100952232,0.0,0.011511888431231845,0.017269330024546125,0.8655163455036224,-0.010701207305513643,-0.06782284325851382,0.0,485.35595156654296,483.407453025141,484.08408773332536,482.4493717269321
0.48000000000000015,0.001997952900485827,0.00293105705782267,1.2160629172555095,0.007338677185609654,6.272067558017319,0.0,0.01885547911114755,0.02319566343590465,1.0521901195181493,-0.004084786676375542,-0.021316576744474618,0.0,462.789806619307,466.4337289709244,463.8840988762967,464.4034182902793
0.5400000000000001,0.0033611807223766117,0.004471702102808815,1.2819540858165317,0.006709209268858984,6.270456519554507,0.0,0.026726766841962443,0.02811926120854762,1.1440928579657472,-0.02811607620429234,-0.04121684295178794,0.0,436.47099650929823,434.8069371712696,436.30412411716054,434.29343568593
0.6000000000000002,0.005206429085584105,0.006276194852082227,1.3512648295242766,0.0045531680795969365,6.267971842567643,0.0,0.03500546902969217,0.031864132114866675,1.166240637432848,-0.06007682154325455,-0.041802915785303145,0.0,412.59053238120316,412.53773365075955,414.4913371918412,411.6722892745914
0.6600000000000003,0.007700451044103003,0.008286223613907661,1.4287534519090332,0.0004332072578554502,6.266076374782639,0.0,0.048391127504076197,0.034670385039151215,1.4164347266184372,-0.09750396267000921,-0.01650438125071548,0.0,483.26978872600665,485.17233241894587,484.35696368922623,481.53056218351225
0.7200000000000003,0.010958529607286452,0.010352981637060938,1.5165843463753257,6.277539474101614,6.264770007441179,0.0,0.06032257560438866,0.03361919521394946,1.511138188664696,-0.1103020541846267,-0.03523041441161596,0.0,437.49062584511285,435.92872039922173,438.3170885774455,437.24312224313405
0.7800000000000004,0.014971301719452478,0.01222608878389316,1.6105370350914656,6.270620802103451,6.263041907194937,0.0,0.07362970788097245,0.028121640735471375,1.620460043067604,-0.12789879655254055,-0.018327129016934292,0.0,441.11781878963404,442.5110453852528,443.2085926899451,441.74790641396856
0.8400000000000004,0.019848706221319755,0.013597090046837977,1.7127179412092353,6.262539895899767,6.262328124071335,0.0,0.08904385065371455,0.016708978155365043,1.7853120145251729,-0.1538332746446662,-0.0014178125169005754,0.0,459.42886630299887,460.76759988577845,460.185747328663,458.1117467459612
0.9000000000000005,0.02576930487628232,0.013980780432870907,1.829857950308767,6.253382508452814,6.261966086777987,0.0,0.10832516832187412,-0.00516191167231849,2.1187683707674223,-0.15030927153372733,-0.017393560673244834,0.0,509.2604922608096,508.1166687834692,508.4681462185292,508.7017725948002
0.9600000000000005,0.032663720820718466,0.013088777137741547,1.9578295943065929,6.244750075643459,6.261944523940329,0.0,0.12152454869312822,-0.025373912653593046,2.1468727188733396,-0.1333994873258437,0.02125926323089737,0.0,416.0700226637726,419.44028602986066,417.74154321717015,419.19244219393283
1.0200000000000005,0.04037094072869737,0.010774994993326655,2.088793115722182,6.23647274207158,6.263645936507313,0.0,0.13523094302322683,-0.0525406272548113,2.218410813271546,-0.14911343537993912,0.03971252384923661,0.0,432.1040915332595,433.6570962442113,432.8349077598823,431.49199692453817
1.0800000000000005,0.048950326980850674,0.006443174228691844,2.228608416461544,6.227767546429382,6.266136143783001,0.0,0.1504458195167025,-0.09289130671740513,2.4416005202177202,-0.1380599193197473,0.044863296726615765,0.0,478.75146942622956,479.14397647193914,479.1741615963919,479.9955953932352
1.1400000000000006,0.058326433289070494,-0.00033447125398129756,2.3785691398394273,6.219642743838243,6.268310816424098,0.0,0.1618197020433049,-0.13387038803226897,2.5567906136973155,-0.13059075337405116,0.007175533323790796,0.0,449.80522919216753,446.7432956097382,447.03528738054723,447.6266450627852
